Q000  C=CCc1c(C)c(C)c(OC)c(C)c1OC
Q001  C=CCc1c(C)c(OC)c(C)c(C)c1OC
Q002  C=CCc1c(C)c(OC)c(C)c(OC)c1C
Q003  CC(=O)Cc1coc(C(O[Si](C)(C)C(C)(C)C)C(C)C)c1
Q004  CC(=O)N/N=C(/Br)c1ccc(Cl)cc1
Q005  CC(=O)N/N=C(\Br)c1ccc(Cl)cc1
Q006  CC(=O)N/N=C(\Cl)c1ccc(Br)cc1
Q007  CC(=O)NN=C(Br)c1ccc(Cl)cc1
Q008  CC(=O)NN=C(Cl)c1ccc(C)cc1
Q009  CC(C)CC1NC(=O)C(C(C)C)C(CC(C)C)N1
Q010  CC(C)CC1NC(=O)C(C(C)C)NC1CC(C)C
Q011  CC(C)CC1NC(=O)C(CC(C)C)C(C(C)C)N1
Q012  CC(C)CC1NC(C(C)C)C(CC(C)C)NC1=O
Q013  CC(C)CC1NC(CC(C)C)C(C(C)C)NC1=O
Q014  CC(C)N1C/C(=C/c2ccc(F)cc2)C(=O)/C(=C/c2ccc(F)cc2)C1
Q015  CC(C)N1C/C(=C/c2cccc(F)c2)C(=O)/C(=C/c2cccc(F)c2)C1
Q016  CC(C)N1C/C(=C/c2ccccc2F)C(=O)/C(=C/c2ccccc2F)C1
Q017  CC(C)N=C(NC(C)C)NS(=O)(=O)c1ccc([N+](=O)[O-])cc1
