Q018  CC(Cl)=NNC(=O)c1ccc(C)cc1
Q019  CCC(=O)CCCCCCCc1ccc(O)c(OC)c1
Q020  CCC(C)C(NS(=O)(=O)c1ccc(C)cc1)C(=O)O
Q021  CCC(NS(=O)(=O)c1ccc(C)cc1)C(C)C(=O)O
Q022  CCCCCCCC(=O)CCc1cc(O)cc(OC)c1
Q023  CCCCCCCC(=O)CCc1ccc(OC)c(O)c1
Q024  CCCCCCCCC(=O)Cc1ccc(O)c(OC)c1
Q025  CCCCCCCCC(=O)c1cc(CC(=O)OCC)ccc1OC
Q026  CCCCCCCCC(=O)c1cc(OC)ccc1CC(=O)OCC
Q027  CCCCCCCCC(=O)c1ccc(CC(=O)OCC)c(OC)c1
Q028  CCCCCCCCC(=O)c1ccc(CC(=O)OCC)cc1OC
Q029  CCCCCCCCC(=O)c1ccc(OC)c(CC(=O)OCC)c1
Q030  CCCCCCCCC(=O)c1ccc(OC)cc1CC(=O)OCC
Q031  CCCc1nc2ccccc2n1-c1ccccc1
Q032  CCOC(=O)CC/C=C(/C)CCCO[Si](c1ccccc1)(c1ccccc1)C(C)(C)C
Q033  CCOC(=O)CC/C=C(\C)CCCO[Si](c1ccccc1)(c1ccccc1)C(C)(C)C
Q034  CCOC(=O)CCCC/C=C(\C)CCO[Si](c1ccccc1)(c1ccccc1)C(C)(C)C
Q035  CN1CC(C(=O)OC(C)(C)C)C(c2ccc([N+](=O)[O-])cc2)C1
