Q170  CCOC(=O)c1c(N)sc(C(=O)Nc2nccs2)c1C
Q171  O=C(CN1C(=O)SC(=Cc2ccc(Br)cc2)C1=O)c1ccc([N+](=O)[O-])cc1
Q172  CON(C)C(=O)C(C)C(C)=C(C)O[Si](C)(C)C(C)(C)C
Q173  O=C(CBr)NC(=[Se])N/N=C/C=C/c1ccc(F)cc1
Q174  C#CCOc1ccc2c(C)cc(=O)oc2c1
Q175  CC(C)OC(OC(C)C)C(=O)c1ccccc1[N+](=O)[O-]
Q176  CC(C)(C)OC(=O)C(O)Cc1ccc([N+](=O)[O-])cc1
Q177  COc1ccc(Cc2cc(C(C)=NNC(N)=S)ncn2)cc1
Q178  C=CCCOc1cc(OC)ccc1C=O
Q179  COc1ccc2cc(/C=C/[Se]c3cc(Cl)ccc3O)ccc2c1
Q180  COc1cc(-c2ccccc2)ccc1OC(C)Cn1cc(-c2ccc(Cl)cc2)nn1
Q181  COC(=O)C(=Cc1ccccc1)C(C#CCCCO[Si](c1ccccc1)(c1ccccc1)C(C)(C)C)OC(=O)OC(C)(C)C
Q182  CC(c1ccc(Cl)cc1)n1nnn(C)c1=S
Q183  CC1(C)c2cc(C#N)ccc2-c2ccc(C(=O)c3ccc(C#N)cc3)cc21
Q184  C#CCN(C)C(=CC(=O)c1ccccc1)c1ccc(C)cc1
Q185  CCOC(=O)c1cc(=O)n(-c2ccc([N+](=O)[O-])cc2)[nH]1
Q186  N#Cc1ccc(C=O)cc1O
