Q204  Cc1cc(C#N)cc(-c2ccc(C(=O)O)o2)c1
Q205  C=CC(C)C(C)(C)C(=O)N1CCOCC1
Q206  O=C(/C=C\c1ccc(O)cc1)c1ccc(O)cc1
Q207  C=CCC(O)/C=C\C(CCCC)O[Si](C)(C)C(C)(C)C
Q208  O=C(C(=O)c1c(-c2cccc(C(F)(F)F)c2)nc2ccccn12)c1ccccc1
Q209  O=C1C=C(Cl)C(=O)c2ccccc21
Q210  NCCNc1n[n+]([O-])c2ccccc2[n+]1[O-]
Q211  CCCC(Oc1cc([N+](=O)[O-])ccc1CNc1ccccc1)C(=O)OC
Q212  NC(=O)c1ccccc1-c1c(I)nnn1C1CCCCC1
Q213  C#CCCCSc1ccc(-c2ccc(SC)s2)s1
Q214  CC(=NNC(=O)c1ccncc1)c1ccc(O)c(I)c1
Q215  CC(/C=C/c1ccccc1)Sc1nnnn1C
Q216  CCOc1ccc(NC(=O)CSc2nnc(C3CCN(S(=O)(=O)c4ccc(OC)cc4)CC3)o2)cc1
Q217  COc1ccc(-n2c3c(sc2=O)C(C)(C)CCC3=O)cc1
Q218  C=C(C)C(=O)OCC=CC
Q219  N#CC(=O)Nc1ccc(I)cc1
Q220  COc1ccc(C(=O)CN2CCN(Cc3ccc([N+](=O)[O-])cc3)CC2)c(O)c1
