Q253  CCCNC(=O)c1cc2cccc(OC)c2oc1=O
Q254  N#CC12Cc3c(no[n+]3[O-])CC1C(c1ccccc1)=C2c1ccccc1
Q255  CCOC(=O)C(C(=O)OCC)c1nc(C)oc1-c1ccc(Cl)cc1
Q256  Cc1c2ccccc2nc2c1c(-c1ccccc1)nn2-c1ccc(Cl)cc1
Q257  O=c1oc2ccccc2c2c1CC1(O2)c2ccccc2Oc2ccccc21
Q258  O=C(/C=C/c1ccccc1)Nc1c(Br)cccc1Br
Q259  CCCn1c(N)cc(=O)n(Cc2ccccc2)c1=O
Q260  COc1cc(/C=N/c2cccc(F)c2)ccc1O
Q261  CC(=O)Nc1ccc(S(=O)(=O)Nc2ccccc2)cc1
Q262  CCCCCCCCCCCc1c(O)cc(O)c2c(=O)c3cc(O)c(Oc4ccccc4F)cc3oc12
Q263  O=c1[nH]c(-c2c(-c3cc(F)c(Cl)cc3F)nc3ccccn23)nc2ccccc12
Q264  COc1ccc(C(=O)/C=C/c2ccccc2[N+](=O)[O-])cc1
Q265  CC1=C(C(=O)c2ccc(-c3ccccc3)cc2)C(Cc2ccccc2)NC(=S)N1
Q266  O=C(/C=C/c1ccc(F)cc1)C(Br)Br
Q267  CCOC(=O)c1c(N)sc(C)c1C(=O)Nc1nccs1
Q268  O=C(COC(=O)c1csc(-c2ccc(Br)cc2)n1)c1ccc([N+](=O)[O-])cc1
