Q085  COc1ccccc1S(C)(=O)=NI
Q086  CCCCC1(CC)OCC(C)(C)CO1
Q087  N#Cc1c(NC(=S)NC2c3ccccc3Sc3ccccc32)sc2c1CCCCC2
Q088  CC#CCC(=O)N(C)OC
Q089  O=C1Nc2ccc(Cl)cc2C1c1cccs1
Q090  Oc1ccc(Nc2ncc(Cc3nc4ccccc4o3)s2)cc1
Q091  O=C(NN=Cc1ccccc1)c1ccc(OCc2cnn(Cc3ccc(F)cc3)n2)cc1
Q092  O=C(c1nc(Nc2cccc(Cl)c2)c2nc[nH]c2n1)C12CC3CC(CC(C3)C1)C2
Q093  O=C(NCc1ccccc1)c1ccc2c(c1)Cc1cc(Cl)cc(Cl)c1-2
Q094  C/C(=C\CCO)CCC(O)c1ccccc1
Q095  COc1cc(OC)c(/C=C\c2ccccc2C)c(OC)c1
Q096  O=C(NCl)Nc1ccccc1C(=O)O
Q097  Nc1ccc2c(c1)N=Nc1cc(N)ccc1CC2
Q098  Cc1cc(-c2ccc(C(=O)O)o2)ccc1C#N
Q099  C=CC(C)(C)C(C)C(=O)N1CCOCC1
Q100  O=C(/C=C/c1ccc(O)cc1)c1ccc(O)cc1
Q101  C=CCC(/C=C\C(O)CCCC)O[Si](C)(C)C(C)(C)C
