Q119  COc1ccc(-c2oc3ccc4ccccc4c3c2C#N)cc1
Q120  O=[N+]([O-])c1ccc(C2C(c3ccccc3)N2Cn2cnnc2S)cc1
Q121  Cc1ccccc1NC(=O)c1cc2ccccc2nc1SCc1nc2ccccc2s1
Q122  CC(=O)Nc1cccc(NCCC(=O)O)c1
Q123  CN1C(=O)CC(c2cccc3c2[nH]c(=O)n3-c2ccccc2)C1=O
Q124  C=CCN1C(=O)CSC1=NN=C(C)c1ccccc1O
Q125  COCOC(C)C(C)N(C)C(=O)/C=C\C1CCC(C/C=C(\C)C=O)O1
Q126  Cc1cc(O)c(C(c2ccc(-c3ccc(NNc4c([N+](=O)[O-])c(CBr)cc(CBr)c4[N+](=O)[O-])cc3)cc2)c2c(O)cc(C)oc2=O)c(=O)o1
Q127  COc1ccc(C#CC(=O)c2cccc3cccc(I)c23)cc1
Q128  Oc1ccc(Br)c(C2CCCCC2)c1
Q129  CC(C)(C)OC(=O)N1CCC(Oc2ccc(N)nc2)CC1
Q130  COc1ccc(C(C)=O)cc1O
Q131  C#C[C@@H](O)CCCCCCCCCCCCCCCCC
Q132  COc1cc(/C=C/C(=O)O)ccc1OCC(=O)C(C)C
Q133  COc1cc(CC(C)=O)ccc1OC(C)C
Q134  COC(=O)c1c(O)c(/C=C/c2cc(OC)c(OC)c(OC)c2)c(C)n(CCc2ccc(F)cc2)c1=O
Q135  COc1ccc2ccc(CNC3CCN(Cc4ccccc4)CC3)cc2c1
