Q170  Cc1ccccc1COC(=O)C(C)C(=O)OC(C)(C)C
Q171  COc1cc2ncnc(Nc3ccccc3)c2cc1-c1nc2cc(-c3ccc(F)c(Cl)c3)ccc2s1
Q172  CC(=O)OCc1ccc(F)cc1
Q173  CCOC(=O)c1sc(NC(=O)N(c2ccc(C)cc2)c2nnc(-c3ccccc3)s2)nc1C
Q174  COc1ccc(NC(=S)NNC(=O)c2cc3ccccc3oc2=O)cc1
Q175  C(=C\N1N=C(c2ccccc2)CC1c1ccccc1)/c1ccccc1
Q176  COc1ccc(COC(=O)/C=C/c2ccc(OC)c(OC)c2)cc1
Q177  CCOC(=O)C(F)Cc1ccccc1
Q178  CCCCCCC#CCCCN1CCOCC1
Q179  C#CCC1N=C(c2ccccc2)OC1=O
Q180  CN(C)CCN(C(=O)NC12CC3CC(CC(C3)C1)C2)C(=O)NC12CC3CC(CC(C3)C1)C2
Q181  CCCCCCCCCCCCCCC(O)C(N)C(O)CO
Q182  CON(C)C(=O)CCCCCCC/C=C/C/C=C/CCC(=O)c1ccc(Br)cc1
Q183  C=CCCC[C@@H](C)C(=O)N1C(=O)OC[C@@H]1Cc1ccccc1
Q184  CC(C)(C)OC(=O)NC1CC(=O)NC1=O
Q185  N=C(N)NCCCC(NCl)C(=O)O
Q186  O=C(N/N=C/c1cc(Br)ccc1O)c1ccc(O)cc1
