Q017  Cc1nc(SC(F)(F)F)n(Cc2ccccc2)c1C
Q018  Cc1ccc(NC(=O)N(C(C)C)C(C)C)cc1
Q019  CCC(C)Cc1ccc(-c2cc(=O)cc(-c3ccc(CC(C)CC)cc3)o2)cc1
Q020  COc1ccc(-c2cc(Br)cc([N+](=O)[O-])c2N)cc1
Q021  N#Cc1ccc(-n2nnnc2CCN2CCS(=O)(=O)CC2)c(N)c1
Q022  O=c1[nH]cc(OC(C[N+](=O)[O-])c2ccc(Cl)cc2)c(=O)[nH]1
Q023  CCCCCOc1ccc(C=Nn2c(SC)nnc(-c3ccccc3)c2=O)cc1
Q024  O=C(/C=C/c1ccccc1)NCCCNCCCCCCCCCCCCNCCCNC(=O)/C=C/c1ccccc1.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F
Q025  CCCCCCC1(CC)ON1CCCC
Q026  CC(=O)Nc1ccc([SH-]S(=O)(=O)C(C)C)cc1
Q027  C=C(C)C1CC=C(C)CC1c1cc(C)c(O)cc1O
Q028  Cc1ccc(S(=O)(=O)NC(=O)CSc2nnc(Nc3cc(Cl)c(Cl)cc3C)c3ccccc23)cc1
Q029  Cc1cn([C@@H]2S[C@H](CO)[C@@H](O)[C@]2(C)CO)c(=O)[nH]c1=O
Q030  CN(Nc1ccc(SC#N)cc1)C(=O)OC(C)(C)C
Q031  COc1cccc(/C=C/COc2cccc(C=O)c2)c1
Q032  Cc1nnc(C(Cc2ccccc2)(NC(=O)OC(C)(C)C)C(=O)OC(C)(C)C)n1-c1ccc(Cl)cc1O
Q033  COC(=O)C1(C)CC2C(C)(C)OC(=O)C2(C)C1=O
