Q408  C#CCC1OC(=O)N=C1c1ccccc1
Q409  CN(C)CCNC(=O)N(C(=O)NC12CC3CC(CC(C3)C1)C2)C12CC3CC(CC(C3)C1)C2
Q410  CCCCCCCCCCCCCCC(N)C(O)C(O)CO
Q411  COc1ccc(Br)cc1C(=O)CCCCCCCCC/C=C/CC(=O)N1CCC1
Q412  C=CCCCC(C)C(=O)N1C(=O)OCC1Cc1ccccc1
Q413  CN1C(=O)CN(C(=O)OC(C)(C)C)C1=O
Q414  N=C(N)N(Cl)CCCC(N)C(=O)O
Q415  O=C(N/N=C/c1ccc(Br)cc1O)c1ccc(O)cc1
Q416  C#CC(c1ccccc1)N(Cn1c2ccccc2c2ccccc21)Cn1c2ccccc2c2ccccc21
Q417  c1ccc(Nc2ccccc2)cc1
Q418  N#Cc1c(N)nc(C(C#N)C#N)c(C#N)c1-c1cccnc1
Q419  COc1ccc2[nH]cc(CNc3ccnc4ccccc34)c2c1
Q420  c1ccc2c(c1)cnn2CCCn1c2ccccc2c2ccccc21
Q421  CC1(C)CC(=O)C2=C(C1)NC(=O)NC2c1ccc(Cl)cc1
Q422  COc1ccc([N+](=O)[O-])cc1OC(C)(C)C
Q423  CON(C)C(=O)c1ccc(C)cc1
Q424  COc1ccc(-n2cc(COc3c(OC)cc(C(C)=O)cc3OC)nn2)cc1
