Q441  CC(=O)OCC1CC2CCC(C)=C(C)C2C(C)C1C
Q442  CC#CCC(O)CCCCCCCCCCCCCCCC
Q443  CCCCCCCCCC#CCO
Q444  COc1c(OCc2ccccc2)c(C)cc2c1C1CN(Cc3ccccc3)C(=O)C(C2)N1C
Q445  C=CC(=O)Nc1ccc(C(=O)OC)c(NC(=O)c2ccccc2Br)c1
Q446  CN(CCc1ccccc1)C(=O)/C=C/c1ccccc1
Q447  O=C([O-])c1c(-c2cccs2)sc2ccccc12
Q448  CCCN1CC2CCC1C(C(=O)OC)=C2c1cccc(OC)c1
Q449  COc1cc(NC(=O)c2ccc(-c3nnc(-c4ccccc4)o3)cc2)cc(OC)c1
Q450  C=CCOc1ncc(C=O)n1C
Q451  C=C1CCC2(C)CCC(C(=O)O)C2C1(C)CCCc1cc(C#N)c(-c2ccccc2)o1
Q452  Cc1ccc(COC(=O)n2nnc3c2c(=O)n(-c2ccccc2)c(=O)n3-c2ccc(Cl)cc2)cc1
Q453  C[Si](C)(C)C#CCOc1ccccc1C(=O)c1ccncc1
Q454  Cc1ccnc(C#N)c1O
Q455  O=C(c1ccccc1)n1c(=O)c(Br)cn(CCCCBr)c1=O
Q456  CN(CCCCCCCCNc1c2c(nc3ccccc13)CCCC2)C(=N)N
