Q537  C#CCOc1ccc(S(C)(=O)=NC(=O)OC)cc1
Q538  COC(=O)N[C@H](CO)Cc1ccccc1
Q539  COc1ccc2cc(C(=O)NCCCn3ccnc3)n(C)c2c1OC
Q540  CCOC(=O)c1[nH]c2ccccc2c1Br
Q541  O=C1C=C(Nc2ccccc2)CC1
Q542  COc1ccc(C#CC(C)O)cc1
Q543  CCCCC(=O)CC(OCC(C)C)OCC(C)C
Q544  CCCOC(=O)c1cc(OCC)c2nc(NC(=O)OC(C)(C)C)sc2n1
Q545  Cc1cc2[nH]c(=O)[nH]c(=O)c2cc1F
Q546  COc1cccc(C(=O)C2CC2C)c1
Q547  O=C1N=C(C(F)(F)F)CNN1c1ccc(Cl)cc1
Q548  CCC#CCCOC(=O)c1ccc(C)cc1
Q549  COC(=O)c1ccc(-c2ccc(OC)c(C(C)=O)c2)cc1
Q550  CCOC(=O)C(C(=O)OCC)c1ccc([N+](=O)[O-])cn1
Q551  Brc1ccc(-n2cc(CSc3nc4ccccc4n3Cc3ccccc3)nn2)cc1
Q552  CCCCCCCCCCCCN1C(=O)c2c(C=O)cccc2S1(=O)=O
