Q102  CC(C)Nc1n[nH]c(Cc2ccccc2)n1
Q103  COc1cc(C=O)cc(-c2ccc(Cl)cc2)c1O
Q104  Cc1cccc(C)c1NC(=O)CSc1nc2ccccc2c(=O)n1C(C)C
Q105  COC(=O)/C=C\c1ccc(C=O)n1CC(=O)OC
Q106  CC(C)(C)c1cc(C(C)(C)C)c2onc(C(=O)N[C@H](Cc3ccc(O)cc3)C(=O)O)c2c1
Q107  CC(C)(C)OC(=O)N1CC=C(c2ccc(Cl)cc2)CC1c1c[nH]c2ccc(Br)cc12
Q108  O=c1[nH]c2ccccc2c2nnc(C3CCCCC3)n12
Q109  COc1cc(C(=O)c2oc3ncc4ccccc4c3c2C)cc(OC)c1OC
Q110  Cc1nc2ccccc2c(-c2ccccc2)c1-c1nc2ccccc2[nH]1
Q111  O=C(CCn1c(=O)cc[nH]c1=O)Sc1ccc([N+](=O)[O-])cc1
Q112  O=C(C[C@@H](c1cccc(Cl)c1)c1c[nH]c2ccccc12)c1ccccc1
Q113  COC(=O)/C(C)=C/Cc1c(C)c(OC)c(OC)c(OC)c1OC
Q114  CCCCCCCCCC(=O)OCc1nc(CO)c(C)nc1C
Q115  CSN(C(=O)OC(C)(C)C)c1ccccc1C
Q116  COCCCS(=O)(=O)[O-].NC(=O)c1cc[nH+]cc1
Q117  C=CC1(CCCCC)CC1(NC(=O)OC)C(=O)OC
Q118  Cc1ccoc(=O)c1C(O)c1c(C)ccoc1=O
