Q170  C#CCCCSc1sccc1-c1ccc(SC)s1
Q171  CC(C)Oc1ccc(N2NC(c3ccc(C4NN(c5ccc(OC(C)C)cc5)C(=O)N(c5ccc(OC(C)C)cc5)N4)cc3)NN(c3ccc(OC(C)C)cc3)C2=O)cc1
Q172  COc1ccc(-c2oc3ccc4ccccc4c3c2C#N)cc1
Q173  Cn1c(=O)[nH]c2cccc(C3CC(=O)N(c4ccccc4)C3=O)c21
Q174  N#Cc1nc2ccccc2nc1N1CCN(CC(=O)Nc2ccc(Br)cc2)CC1
Q175  N#Cc1ccc2ncnc(N3CCN(CC(=O)Nc4cccc(Br)c4)CC3)c2c1
Q176  O=C(CN1C(=O)SC(=Cc2ccc([N+](=O)[O-])cc2)C1=O)c1ccc(Br)cc1
Q177  N#Cc1c(NC(=S)NC2c3ccccc3Sc3ccccc32)sc2c1CCCCC2
Q178  C=CC(C)(C)C(C)C(=O)N1CCOCC1
Q179  NCCNc1n[n+]([O-])c2ccccc2[n+]1[O-]
Q180  COc1ccc(C(=O)N2CCN(Cc3ccc([N+](=O)[O-])cc3)CC2)c(OC)c1
Q181  N#Cc1c(NC(=S)NC2(c3cccs3)CCCCC2)ccc2sc3ccccc3c12
Q182  C=CCC(/C=C\C(O)CCCC)O[Si](C)(C)C(C)(C)C
Q183  Cc1cc(O)c(C(c2ccc(-c3ccc(NNc4c([N+](=O)[O-])c(CBr)cc(CBr)c4[N+](=O)[O-])cc3)cc2)c2c(O)cc(C)oc2=O)c(=O)o1
Q184  COC(=O)c1c(O)c(C)c(/C=C/c2cc(OC)c(OC)c(OC)c2)n(CCc2ccc(F)cc2)c1=O
Q185  CCOC(=O)c1ccc(C(=O)O[Si](C)(C)C(C)(C)C)cc1
Q186  O=c1[nH]c(-c2cc(-n3ccc4cccnc43)c(F)c(Cl)c2F)nc2ccccc12
