Q068  CCCn1c(N)cc(=O)n(Cc2ccccc2)c1=O
Q069  COc1cc(/C=C/C(=O)OCCN2CCCCC2)ccc1O
Q070  Cc1cc2cccnc2n1-c1ccccc1Oc1cccc2ccccc12
Q071  CC(=O)N(c1ccccc1)S(=O)(=O)c1ccc(N)cc1
Q072  NC(=O)c1ccccc1-c1nnn(C2CCCCC2)c1I
Q073  Cc1ccc(-c2ccc(C(=O)O)o2)cc1C#N
Q074  COc1cc(/C=C/C(=O)O)ccc1OCCN1CCCCC1
Q075  Nc1ccc2c(c1)CCc1cc(N)ccc1N=N2
Q076  CCOC(=O)c1cc(=O)n(-c2ccc([N+](=O)[O-])cc2)[nH]1
Q077  CC#Cc1nnc(SC(Cc2ccc(F)cc2)CN2C(=O)c3ccccc3C2=O)o1
Q078  CCCC(Oc1cc([N+](=O)[O-])ccc1CNc1ccccc1)C(=O)OC
Q079  O=C(c1cccc(Nc2ncnc3[nH]c(Cl)nc23)c1)C12CC3CC(CC(C3)C1)C2
Q080  COc1cc(C(C)=O)ccc1O
Q081  C#CCOc1ccc2oc(=O)cc(C)c2c1
Q082  COC(=O)c1c(O)c(/C=C/c2cc(OC)c(OC)c(OC)c2)c(=O)n(CCc2ccc(F)cc2)c1C
Q083  O=C(/C=C\c1ccc(O)cc1)c1ccc(O)cc1
Q084  CC(C)(C)OC(=O)CC(O)c1cccc([N+](=O)[O-])c1
