Q085  COc1ccc(Cc2cc(C(C)=NNC(N)=S)ncn2)cc1
Q086  C=CCCOc1ccc(C=O)c(OC)c1
Q087  CCOC(=O)c1c(N)sc(C)c1C(=O)Nc1nccs1
Q088  COc1ccc(Cc2cncc(C(C)=NNC(N)=S)n2)cc1
Q089  O=C(/C=C/c1ccccc1)Nc1ccc(Br)cc1Br
Q090  C=CC(C)OC(=O)C(=C)C
Q091  CC(=O)N(c1ccc2c(c1)OCO2)[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)[C@H]1O
Q092  CC(=NNC(=O)OCC(=O)c1ccc(-n2cccc2)cc1)c1ccccc1
Q093  O=C(CSc1nc2ccc(-c3cnc4ccccc4c3)cc2c(=O)[nH]1)Nc1ccc(F)cc1
Q094  CCOC(=O)C(C(=O)OCC)c1nc(C)oc1-c1ccc(Cl)cc1
Q095  COc1ccc(/C=C/C(=O)c2cccc([N+](=O)[O-])c2)cc1
Q096  COc1cc(OC)c(/C=C\c2ccccc2C)c(OC)c1
Q097  C=C1CCC(C)C2CC(=O)C3(C)CCCC4(Cc5cocc5C(=O)OC)OC4C3C12
Q098  O=C(/C=C/C(Br)Br)c1ccc(F)cc1
Q099  C=CCCOc1cc(OC)ccc1C=O
Q100  C#CCN(C)C(=CC(=O)c1ccccc1)c1ccc(C)cc1
Q101  O=C(/C=C/c1ccc(F)cc1)C(Br)Br
