Q119  CCCC(=O)Nc1cc2cccc(OC)c2oc1=O
Q120  COc1ccc(-c2ccc(Cl)cc2)cc1OC(C)Cn1cc(-c2ccccc2)nn1
Q121  Cc1ccccc1NC(=O)c1cc2ccccc2nc1SCc1nc2ccccc2s1
Q122  Cc1cc(O)c(C(c2ccc(Nc3ccc(Nc4c([N+](=O)[O-])c(CBr)cc(CBr)c4[N+](=O)[O-])cc3)cc2)c2c(O)cc(C)oc2=O)c(=O)o1
Q123  O=C(C=Cc1ccc(O)cc1)c1ccc(O)cc1
Q124  NC(=O)c1nnn(C2CCCCC2)c1-c1ccccc1I
Q125  COC(=O)C(=Cc1ccccc1)C(C#CCCCO[Si](c1ccccc1)(c1ccccc1)C(C)(C)C)OC(=O)OC(C)(C)C
Q126  N#Cc1ccc(O)c(C=O)c1
Q127  C#C[C@@H](O)CCCCCCCCCCCCCCCCC
Q128  COc1ccc2ccc(CNC3CCN(Cc4ccccc4)CC3)cc2c1
Q129  C=C(C(=O)OC)c1c(-c2ccccc2Cl)nc2ccccc2c1-c1ccccc1
Q130  COc1cc(O)ccc1C(=O)CN1CCN(Cc2ccc([N+](=O)[O-])cc2)CC1
Q131  CCCCCCCCCCCc1cc(=O)oc2c(F)c(-c3cc4c(=O)cc(C)oc4cc3O)cc(O)c12
Q132  N#CC1(C#Cc2ccccc2)Cc2c(no[n+]2[O-])CC1c1ccccc1
Q133  CC#CCC(=O)N(C)OC
Q134  Cc1cc(-c2ccc(C(=O)O)o2)ccc1C#N
Q135  O=C(/C=C/c1cccc(F)c1)C(Br)Br
