W136  C#CCOC(=O)N(OC(C)(C)C)SC
W137  NS(=O)(=O)c1ccc(Cl)cc1CNc1ccc(O)cc1
W138  CCOc1ccc2oc(=O)c(Cc3ccc(C(F)(F)F)cc3)c(-c3ccncc3)c2c1
W139  C#CC(C)c1ccc(F)cc1-c1ccccc1OC
W140  NS(=O)(=O)c1cc(Cl)cc(CNc2ccccc2O)c1
W141  COC(=O)c1cc(-c2ccc(F)cc2)nn1-c1ccc([N+](=O)[O-])cc1
W142  CCOC(=O)C1=C(N)Oc2sc(N)c(C#N)c2C1c1ccccc1Cl
W143  CCCCCCCC(=O)CCc1ccc(OC)cc1O
W144  Cc1ccc(CC(C)NC(=O)C(C)NS(=O)(=O)c2ccc(Cl)c(Cl)c2)cc1
W145  O=Cc1c(-c2ccccc2)cn2ccccc12
W146  Cc1ccc(N(/N=C/c2ccccc2O)C(=O)CC(=O)c2cccn2C)cc1
W147  Cn1cc(C(=O)Nc2ccccc2F)c(=O)c2ccc([N+](=O)[O-])cc21
W148  COc1ccc(CSc2nnnn2-c2cccc3c(C(=O)Nc4ccccc4)ccnc23)cc1
W149  C#CC(C)c1ccc(OC)c(-c2ccccc2)c1F
W150  C=CC(=O)c1ccccc1C(=O)C=C
W151  COc1c(-c2ccc(O)cc2)oc2ccc(O)cc2c1=O
