Q136  O=C(O)CCN1C(=O)C(=Cc2cccs2)SC1=Nc1ccccc1
Q137  Cn1ncc(-c2cc3ccccc3oc2=O)c1Cl
Q138  CC1(C)CC(=O)C2=C(C1)N(c1ccccc1)C1=C(C(=O)CC(C)(C)C1)C2c1ccc(F)cc1
Q139  COc1cc(/C=N/C(=O)Nc2ccccc2)cc(OC)c1O
Q140  O=S(=O)(NCC(=Cc1ccccc1)CO)c1ccccc1Br
Q141  FC(F)(F)c1ccc(-c2ccc[nH]2)cc1
Q142  C#CC(C)c1ccc(-c2ccccc2)nc1
Q143  CC(=O)COc1ccc(Br)cc1/C=C/C(=O)c1ccc(C)cc1
Q144  CCC1=C(C)C(=O)C(NC(=O)c2ccccc2C(F)(F)F)=C(C)C1=O
Q145  CC(C)=CCN(CC=C(C)C)c1cccc2c1C(=O)c1ccccc1C2=O
Q146  CC(C)(C)Oc1ccc([N+](=O)[O-])cc1
Q147  Cc1ccc([N+](=O)[O-])cc1-c1cc(C#N)[nH]n1
Q148  O=C(NC(C(=O)OCc1ccccc1)c1ccccc1)c1cc(=O)c2ccc(O)cc2o1
Q149  CCOC(=O)/C(=C/c1ccc(CC)cc1)[N+](=O)[O-]
Q150  CCC[CH2][Sn]([CH3])([CH3])[CH3]
Q151  C=CCn1c(=O)c(/C=C/CCCCCCCCC)cc2ccccc21
Q152  CCOC(=O)/C=C(\CC(=O)Cc1ccccc1)C(=O)OC
